epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3273.31,1.27147,1.91975,1.15755,0.94585,0.8716,0.93594,0.59496,1.25048,1.1695,1.17809,0.000665158,0.000665158,0.000665158
2,6534.55,1.27609,0.90892,1.19678,0.90764,0.86551,0.91484,0.58414,1.25541,0.91589,1.19552,0.00119997,0.00119997,0.00119997
3,9767.87,1.25009,0.76513,1.18593,0.91629,0.8627,0.9086,0.57846,1.27121,0.80778,1.20218,0.00160279,0.00160279,0.00160279
4,13005.7,1.23372,0.70446,1.17162,0.96597,0.90454,0.95057,0.62702,1.2311,0.67706,1.15214,0.001406,0.001406,0.001406
5,16277.3,1.19644,0.65469,1.14897,0.96288,0.9116,0.95551,0.64649,1.18205,0.63217,1.13172,0.001208,0.001208,0.001208
6,19529.4,1.15974,0.59794,1.1244,0.96262,0.92917,0.96423,0.64898,1.16964,0.5949,1.11772,0.00101,0.00101,0.00101
7,22773.1,1.14185,0.5655,1.1149,0.96031,0.9447,0.97177,0.67011,1.16519,0.53947,1.10521,0.000812,0.000812,0.000812
8,26030.5,1.1168,0.53173,1.09507,0.97292,0.93861,0.97096,0.66286,1.15893,0.53521,1.10268,0.000614,0.000614,0.000614
9,29287.2,1.09993,0.50434,1.08379,0.97943,0.93701,0.97678,0.6835,1.10991,0.50481,1.0738,0.000416,0.000416,0.000416
10,32564.1,1.07481,0.48082,1.06749,0.9805,0.94244,0.9796,0.6969,1.09434,0.47366,1.06334,0.000218,0.000218,0.000218
